id,firstname,lastname,company_name,created_by,created_at,updated_at,updated_by,credentials_id,email,job_title_id,job_title_others,phone_number,gender,entrepreneurship,corporate_number,company_registration_type_id,company_registration_type_others,industry_group_id,member_state,accept_subscribe,industry_group_others,email_bk,is_invitation,is_pass_elearning_final_exam,is_pass_advanced_final_exam,login_via,update_profile_at,user_ref,line_id,job_title_group
88901659,tk,dev,tk-d59,,2023-12-01 11:34:12,2023-12-14 12:39:21,SYSTEM,1766,774e7c4ea85fb0d104b63f77d4541d967b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,1231231203,male,SME,1111111111111,1,NULL,10,MEMBER,1,NULL,,0,0,0,SME,2023-12-01 11:34:12,NULL,NULL,เจ้าของกิจการ
88901660,Chutiwan,Kloomsilp,LFTester,,2023-12-05 11:36:10,2023-12-14 12:39:21,SYSTEM,1767,29c839bc9ec56578e36b3a2b417d63b71223d702dd17c2726214f4f6af68c9a4,NULL,NULL,0616325874,female,SME,0000000000000,1,NULL,27,MEMBER,1,NULL,,0,0,0,SME,2023-12-05 11:36:10,NULL,NULL,เจ้าของกิจการ
88901661,korn,oo,korn001,,2023-12-05 15:52:35,2023-12-14 12:39:21,SYSTEM,1768,5e132cb66878c33087172aaea3cac29971678eab89437f78523dea447e38777f,NULL,NULL,0000000000,female,SME,1111111111111,1,NULL,27,MEMBER,1,NULL,,0,0,0,SME,2023-12-05 15:54:00,NULL,NULL,เจ้าของกิจการ
88901662,dawef,aefawef,ewgewrg,,2023-12-05 16:17:59,2023-12-14 12:39:21,SYSTEM,1769,99daf64c46d0849f407bdba34ddc54fa1223d702dd17c2726214f4f6af68c9a4,NULL,NULL,2341514234,male,SME,1234123412341,2,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:17:59,NULL,NULL,เจ้าของกิจการ
88901663,afwefawef,afwefawe,asefaef,,2023-12-05 16:20:38,2023-12-14 12:39:21,SYSTEM,1770,a53c10d2d34f166a8ef31dc770da56ec68f7b1b758b12a2e0362ba8a86fa8b2e,NULL,NULL,0910356938,male,SME,2345432134567,2,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-05 16:20:38,NULL,NULL,เจ้าของกิจการ
88901664,doctoey,uat,sdadasd,,2023-12-05 16:20:52,2023-12-14 12:39:21,SYSTEM,1771,03a99a126a3f6d34ac7ea266b49b4a0871678eab89437f78523dea447e38777f,NULL,NULL,0802270300,male,SME,1231231231231,1,NULL,13,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:20:52,NULL,NULL,เจ้าของกิจการ
88901665,toey,uat,uat3,,2023-12-05 16:23:13,2023-12-14 12:39:21,SYSTEM,1772,041926281ea14250b7483a36e9cf315671678eab89437f78523dea447e38777f,NULL,NULL,0802270300,male,SME,2131232132132,1,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:23:13,NULL,NULL,เจ้าของกิจการ
88901666,Cheewathun,uat,uat,,2023-12-05 16:34:47,2023-12-14 12:39:21,SYSTEM,1773,a877442ff4ef7a833570f81feeaf64e671678eab89437f78523dea447e38777f,NULL,NULL,0802270300,male,SME,3242342432432,1,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:34:47,NULL,NULL,เจ้าของกิจการ
88901667,three,fg,tcg,,2023-12-05 16:35:38,2023-12-14 12:39:21,SYSTEM,1774,78bbb3da0613af9a9fcb5a786d706df071678eab89437f78523dea447e38777f,NULL,NULL,0000000000,female,SME,0000000000000,2,NULL,25,MEMBER,1,NULL,,0,0,0,SME,2023-12-05 16:35:38,NULL,NULL,เจ้าของกิจการ
88901668,dawd,dawda,ferfr,,2023-12-05 16:44:55,2023-12-14 12:39:21,SYSTEM,1775,e7020ead5daeff0a737467b291258c0e,NULL,NULL,2341412341,male,SME,1234123513251,2,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:44:55,NULL,NULL,เจ้าของกิจการ
88901669,Cheewathun,ewr,uat,,2023-12-05 16:45:05,2023-12-14 12:39:21,SYSTEM,1776,4484a2346bf52fb90f70585cd86af8c57b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,0802270300,male,SME,2143234324324,1,NULL,13,MEMBER,1,NULL,,0,0,0,NULL,2023-12-05 16:45:05,NULL,NULL,เจ้าของกิจการ
88901670,kaaaaaa,yaaaaaa,jfjljfj,,2023-12-05 16:46:59,2024-03-18 16:37:07,SYSTEM,1777,accb3d5d0350f761e544861297d1d4626ac4782832dd763f97198f8431a15c78,NULL,NULL,8408430284,male,SME,4324324234242,1,NULL,10,MEMBER,1,NULL,,0,0,0,SME,2023-12-05 16:46:59,NULL,NULL,เจ้าของกิจการ
88901671,tk,dev,tk-d60,,2023-12-06 09:59:26,2023-12-14 12:39:21,SYSTEM,1778,4528e41d16efbb75d3ea06a2f85e6cd97b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,1231231203,male,SME,1111111111111,1,NULL,10,MEMBER,1,NULL,,0,0,0,SME,2023-12-06 09:59:26,NULL,NULL,เจ้าของกิจการ
88901672,dt,dev,dt-d40,,2023-12-06 10:27:16,2023-12-14 12:39:21,SYSTEM,1779,f6a5a40744ed0496e3d7b52670961cae7b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,0994414497,male,SME,1232131231231,1,NULL,27,MEMBER,1,NULL,,0,0,0,SME,2023-12-06 10:27:16,NULL,NULL,เจ้าของกิจการ
88901673,toey,Odds,comp,,2023-12-06 10:34:04,2023-12-14 12:39:21,SYSTEM,1780,5f3da0c90f8b7bf754602eb76b952dba6ac4782832dd763f97198f8431a15c78,NULL,NULL,1231231203,male,SME,1123123123123,1,NULL,14,MEMBER,1,NULL,,0,0,0,NULL,2023-12-06 10:34:04,NULL,NULL,เจ้าของกิจการ
88901674,toey,Odds,comp,,2023-12-06 10:35:14,2023-12-14 12:39:21,SYSTEM,1781,7f617ca44c4c60c0bd24f85adbb06d657b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,1231231203,male,SME,1243243243242,1,NULL,15,MEMBER,1,NULL,,0,0,0,NULL,2023-12-06 10:35:14,NULL,NULL,เจ้าของกิจการ
88901675,Toey,Odds,comp,,2023-12-06 10:41:11,2023-12-14 12:39:21,SYSTEM,1782,1611277eeeb300efb737cfed676a59b27b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,1231231203,male,SME,1231231231231,1,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-06 10:41:11,NULL,NULL,เจ้าของกิจการ
88901676,tkถถถถถถถฟหกฟหกฟหกฟหก,dev,tk-d61,,2023-12-06 10:47:15,2023-12-14 12:39:21,SYSTEM,1783,e867ccbe12676f0fc287c981e49ffc367b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,1231231203,male,SME,1111111111111,1,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-06 10:47:15,NULL,NULL,เจ้าของกิจการ
88901677,tkตั๊กกี้,dev,tk-d62,,2023-12-06 10:48:50,2023-12-14 12:39:21,SYSTEM,1784,872ca53f60f5b4c4f5229b50bd7dcf3d7b1b51eb8f4be662d5f57e39707ab9b3,NULL,NULL,0830398905,male,SME,1111111111111,1,NULL,11,MEMBER,1,NULL,,0,0,0,SME,2023-12-06 10:48:50,NULL,NULL,เจ้าของกิจการ
88901678,tk,dev,tk-d63,,2023-12-06 10:51:26,2023-12-14 12:39:21,SYSTEM,1785,1fdad82ab6e92962a32befad15683d2a7b1b51eb8f4be662d5f57e39707ab9b3,NULL,คนสวน,1231231231,male,SME,1231231231231,1,,11,MEMBER,1,,,0,0,0,SME,2023-12-07 10:19:00,NULL,NULL,เจ้าของกิจการ
88901680,wa,wa,wa,,2023-12-06 14:34:49,2023-12-14 12:39:21,SYSTEM,1787,8486823e149c54101e08ad01dab18c97,NULL,NULL,0880802379,male,SME,,1,NULL,10,MEMBER,1,NULL,,0,0,0,NULL,2023-12-06 14:34:49,NULL,NULL,เจ้าของกิจการ
88901681,korn,tcg,korn001,,2023-12-06 17:54:45,2023-12-14 12:39:21,SYSTEM,1788,ba727b3c6ab234e7c2090c09bfb49a2671678eab89437f78523dea447e38777f,NULL,test,0000000000,female,SME,1111111111111,1,NULL,25,MEMBER,1,NULL,,0,0,0,NULL,2023-12-06 17:54:45,NULL,NULL,เจ้าของกิจการ
88901682,Wasin,Wachirapusitanun,Joey Company 01,,2023-12-07 10:50:01,2024-05-07 04:01:41,SYSTEM,1789,0aad794eac66bd55ff9cb7a950a3e47c0fbac2c5d12f210b6b4f8708e7972cb4,NULL,NULL,0811111111,male,SME,0988734763742,1,NULL,25,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 10:50:01,NULL,NULL,เจ้าของกิจการ
88901683,Nattanunkorn, bunsawat,ANA one company,,2023-12-07 11:27:18,2024-01-09 10:24:22,SYSTEM,1790,9278db136b5861e03180ae1c65b73034828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0983838383,female,SME,1111111111111,1,NULL,14,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 11:27:18,NULL,NULL,เจ้าของกิจการ
88901684,Nattanunkorn,bunsawat,BNA two company,,2023-12-07 11:30:50,2024-01-09 10:25:43,SYSTEM,1791,93629ad73d6fb50360c408dac14c4164828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0933222111,female,SME,2222222222222,2,NULL,11,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 11:30:50,NULL,NULL,เจ้าของกิจการ
88901685,Nattanunkorn,bunsawat,CNA thre company,,2023-12-07 13:10:14,2023-12-14 12:39:21,SYSTEM,1792,8f21e3d97b8b5736cb53e5c941598dff828e5c19a31de1992e7aeed7f92e2bf2,NULL,NULL,0944444444,male,SME,3333333333333,3,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 13:10:14,NULL,NULL,เจ้าของกิจการ
88901686,Pakin,Silpasert,pakin plus thirtytwo,,2023-12-07 13:49:18,2023-12-14 12:39:21,SYSTEM,1793,e80c018b027d4b6f0b130299bbfe566df686f10342afab27d0ee38a3afce6ba0,NULL,NULL,0000000000,male,SME,0000000000000,1,NULL,12,MEMBER,1,NULL,,0,0,0,NULL,2023-12-07 13:49:18,NULL,NULL,เจ้าของกิจการ
88901687,Pakin,Silpasert,pakin plus thirtyfour,,2023-12-07 13:53:50,2023-12-14 12:39:21,SYSTEM,1794,79391ac69279d378584876f39a71456b495c2b9cf1c749786889df511b5075ee,NULL,NULL,0640000000,male,SME,0000000000000,1,NULL,12,MEMBER,1,NULL,,0,0,0,SME,2023-12-07 13:53:50,NULL,NULL,เจ้าของกิจการ
